Income,Age,Month_Customer,Total_Spending,children,clusters
82384.0,69,134.0,1957,0,Silver
70287.0,58,129.0,1093,0,Silver
27938.0,36,117.0,29,1,Bronze
55954.0,56,118.0,518,1,Gold
75777.0,42,126.0,1438,0,Silver
66653.0,49,136.0,612,2,Gold
61823.0,72,131.0,884,1,Gold
67680.0,73,127.0,606,1,Gold
70666.0,76,121.0,1076,0,Silver
25721.0,53,128.0,34,1,Bronze
32474.0,57,116.0,11,2,Platinum
88194.0,45,118.0,1274,1,Silver
69096.0,66,124.0,653,1,Gold
74854.0,54,129.0,1562,3,Silver
66991.0,70,136.0,1253,0,Gold
65031.0,65,130.0,863,1,Gold
60631.0,49,129.0,661,2,Gold
28332.0,72,117.0,65,0,Bronze
40246.0,47,133.0,13,1,Platinum
75251.0,52,137.0,1890,0,Silver
75825.0,48,135.0,2209,0,Silver
26326.0,48,124.0,18,0,Bronze
56046.0,59,132.0,692,0,Gold
29760.0,39,137.0,165,1,Bronze
26304.0,55,127.0,16,1,Bronze
23559.0,51,126.0,79,1,Bronze
38620.0,61,128.0,318,0,Platinum
81361.0,37,119.0,778,0,Silver
29440.0,64,125.0,56,2,Bronze
36138.0,54,126.0,151,2,Platinum
50388.0,67,116.0,372,1,Platinum
79593.0,51,116.0,1366,0,Silver
54178.0,57,120.0,194,1,Gold
42394.0,52,118.0,32,1,Platinum
23626.0,54,116.0,43,1,Bronze
30096.0,41,116.0,45,1,Bronze
47916.0,64,134.0,606,1,Platinum
51813.0,52,129.0,63,2,Gold
78497.0,73,121.0,978,0,Silver
50150.0,41,127.0,410,0,Platinum
47823.0,64,126.0,72,1,Platinum
34554.0,65,118.0,55,1,Platinum
85693.0,45,129.0,1169,1,Silver
65846.0,79,128.0,1120,0,Gold
87195.0,65,116.0,1097,0,Silver
24594.0,45,121.0,29,1,Bronze
49096.0,60,124.0,187,2,Platinum
52413.0,55,131.0,910,2,Gold
38557.0,46,133.0,145,1,Platinum
89058.0,64,133.0,850,0,Silver
77298.0,45,122.0,969,1,Silver
68126.0,33,134.0,1820,0,Gold
57288.0,61,115.0,608,1,Gold
86037.0,33,132.0,730,0,Silver
43974.0,44,133.0,551,1,Platinum
50785.0,62,124.0,114,2,Gold
90765.0,54,120.0,1724,0,Silver
36550.0,46,131.0,577,1,Platinum
30753.0,57,126.0,81,2,Bronze
21918.0,55,122.0,33,1,Bronze
56129.0,71,127.0,660,1,Gold
32557.0,57,119.0,80,1,Platinum
19510.0,39,124.0,30,2,Bronze
30992.0,48,129.0,43,1,Bronze
101970.0,41,130.0,1135,0,Silver
71488.0,59,131.0,559,0,Silver
79607.0,40,129.0,1923,0,Silver
54348.0,71,115.0,90,2,Gold
77376.0,68,116.0,661,2,Silver
62998.0,72,124.0,463,1,Gold
61331.0,66,130.0,632,2,Gold
73448.0,55,119.0,725,0,Silver
41551.0,60,125.0,279,2,Platinum
62981.0,57,130.0,1482,0,Gold
9548.0,48,137.0,29,1,Bronze
33762.0,65,126.0,106,3,Platinum
35860.0,51,116.0,49,2,Platinum
36921.0,59,126.0,38,2,Platinum
92859.0,32,135.0,2077,0,Silver
65104.0,48,122.0,1053,1,Gold
86111.0,62,129.0,1385,0,Silver
68352.0,50,125.0,871,1,Gold
41883.0,36,130.0,312,1,Platinum
59809.0,48,135.0,877,2,Gold
23957.0,49,135.0,68,1,Bronze
38547.0,43,125.0,22,1,Platinum
35688.0,51,137.0,211,3,Platinum
49605.0,58,115.0,127,0,Platinum
59354.0,71,117.0,459,2,Gold
65747.0,55,118.0,460,1,Gold
46344.0,52,133.0,429,1,Platinum
34176.0,36,116.0,89,1,Platinum
61010.0,72,135.0,1021,1,Gold
69372.0,75,131.0,1381,0,Gold
49967.0,66,126.0,306,1,Platinum
60199.0,46,124.0,18,3,Gold
55375.0,47,123.0,162,1,Gold
80317.0,69,125.0,1231,0,Silver
30523.0,66,126.0,13,3,Bronze
70356.0,79,134.0,1706,0,Silver
23228.0,40,120.0,121,1,Bronze
74165.0,49,128.0,1293,0,Silver
43482.0,58,122.0,88,3,Platinum
62551.0,71,122.0,421,0,Gold
52332.0,65,125.0,259,0,Gold
66951.0,36,122.0,1117,0,Gold
26091.0,67,119.0,89,2,Bronze
33456.0,59,117.0,36,2,Platinum
28718.0,42,126.0,57,1,Bronze
50447.0,54,117.0,148,2,Platinum
53537.0,65,120.0,93,2,Gold
52074.0,57,117.0,119,1,Gold
80427.0,49,136.0,1835,1,Silver
83837.0,76,133.0,1318,0,Silver
38853.0,54,116.0,45,2,Platinum
38285.0,65,115.0,10,3,Platinum
78497.0,73,121.0,978,0,Silver
51650.0,48,116.0,191,1,Gold
16248.0,36,116.0,57,1,Bronze
66835.0,78,124.0,1033,0,Gold
30477.0,40,120.0,66,1,Bronze
28249.0,63,115.0,43,0,Bronze
25271.0,41,133.0,50,1,Bronze
32303.0,54,118.0,39,1,Platinum
61286.0,58,125.0,608,1,Gold
74068.0,48,130.0,1581,0,Silver
45759.0,60,131.0,68,2,Platinum
24882.0,46,136.0,80,1,Bronze
66973.0,35,128.0,1282,0,Gold
38872.0,36,128.0,91,1,Platinum
51148.0,51,131.0,315,2,Gold
31353.0,47,121.0,31,2,Bronze
69661.0,44,116.0,834,0,Gold
80067.0,70,124.0,1600,0,Silver
86718.0,70,132.0,1270,0,Silver
46854.0,51,118.0,263,2,Platinum
69142.0,72,115.0,535,1,Gold
75922.0,56,121.0,1295,0,Silver
63693.0,46,123.0,1150,1,Gold
102160.0,47,134.0,1240,0,Silver
40637.0,59,126.0,38,2,Platinum
18890.0,40,134.0,35,0,Bronze
29604.0,36,121.0,53,1,Bronze
48721.0,61,128.0,293,2,Platinum
44794.0,58,115.0,65,1,Platinum
64497.0,70,136.0,1804,1,Gold
46097.0,68,130.0,241,1,Platinum
77972.0,70,118.0,1101,0,Silver
44377.0,56,135.0,264,2,Platinum
46014.0,50,132.0,541,2,Platinum
70951.0,39,128.0,1198,0,Silver
41443.0,47,117.0,482,1,Platinum
52195.0,46,116.0,17,3,Gold
83790.0,76,122.0,1615,0,Silver
44551.0,70,125.0,285,1,Platinum
69508.0,44,134.0,1135,1,Gold
45204.0,36,117.0,114,1,Platinum
72460.0,55,122.0,1047,0,Silver
77622.0,54,117.0,714,2,Silver
30732.0,44,132.0,185,1,Bronze
63887.0,62,136.0,1245,1,Gold
42011.0,46,130.0,189,1,Platinum
51369.0,48,135.0,576,1,Gold
51537.0,72,133.0,1103,1,Gold
79930.0,52,137.0,1753,0,Silver
34320.0,38,119.0,17,1,Platinum
37070.0,58,130.0,433,2,Platinum
81975.0,62,132.0,1588,1,Silver
38590.0,53,128.0,22,1,Platinum
15033.0,73,117.0,19,0,Bronze
62745.0,59,130.0,1117,1,Gold
22212.0,49,121.0,69,1,Bronze
23661.0,42,121.0,23,1,Bronze
79761.0,66,123.0,605,1,Silver
7500.0,51,121.0,57,1,Bronze
73455.0,56,123.0,2088,0,Silver
64961.0,66,133.0,1009,1,Gold
22804.0,53,126.0,26,1,Bronze
73687.0,34,122.0,1627,0,Silver
61074.0,66,137.0,1102,1,Gold
31686.0,60,115.0,17,2,Bronze
80134.0,52,128.0,1690,1,Silver
75027.0,71,132.0,1390,1,Silver
67546.0,36,137.0,2126,0,Gold
65176.0,55,135.0,1531,1,Gold
31160.0,49,124.0,64,1,Bronze
29938.0,39,123.0,26,1,Bronze
102692.0,50,129.0,1112,0,Silver
26490.0,66,136.0,210,0,Bronze
75702.0,57,137.0,1148,2,Silver
30899.0,50,135.0,33,1,Bronze
63342.0,63,135.0,1101,1,Gold
45989.0,60,135.0,322,1,Platinum
18701.0,60,127.0,44,2,Bronze
40737.0,67,121.0,17,3,Platinum
15287.0,45,135.0,31,1,Bronze
69674.0,56,128.0,845,2,Gold
44159.0,54,115.0,275,1,Platinum
37717.0,46,134.0,25,1,Platinum
43776.0,72,131.0,275,2,Platinum
38179.0,58,130.0,90,2,Platinum
80124.0,61,115.0,1495,0,Silver
38097.0,54,135.0,184,2,Platinum
72940.0,54,127.0,981,0,Silver
22070.0,54,123.0,67,1,Bronze
69267.0,71,136.0,1635,0,Gold
31788.0,41,118.0,60,1,Bronze
61905.0,49,119.0,231,1,Gold
29315.0,64,117.0,48,2,Bronze
33378.0,61,131.0,99,2,Platinum
66313.0,61,124.0,770,1,Gold
60714.0,68,132.0,957,0,Gold
77882.0,43,117.0,818,0,Silver
69867.0,38,129.0,925,0,Silver
63841.0,56,129.0,908,1,Gold
24480.0,43,131.0,102,1,Bronze
51369.0,48,135.0,576,1,Gold
37760.0,78,137.0,317,0,Platinum
65640.0,50,118.0,461,1,Gold
44319.0,49,117.0,37,2,Platinum
30631.0,50,126.0,70,1,Bronze
75278.0,72,132.0,930,0,Silver
50898.0,68,132.0,859,2,Gold
79946.0,58,116.0,1478,0,Silver
35416.0,75,127.0,390,0,Platinum
32414.0,40,126.0,52,0,Platinum
38361.0,55,121.0,137,1,Platinum
82497.0,44,135.0,1919,0,Silver
16626.0,53,120.0,68,2,Bronze
29672.0,59,130.0,25,2,Bronze
55951.0,72,137.0,1374,1,Gold
35388.0,36,130.0,32,1,Platinum
42386.0,38,132.0,100,1,Platinum
68627.0,42,132.0,825,0,Gold
57912.0,59,118.0,916,1,Gold
35246.0,66,117.0,62,2,Platinum
58821.0,68,123.0,728,1,Gold
46377.0,46,118.0,90,1,Platinum
39747.0,36,117.0,273,1,Platinum
23976.0,40,121.0,66,1,Bronze
80950.0,63,130.0,1213,0,Silver
27038.0,58,136.0,107,0,Bronze
77457.0,77,118.0,1157,0,Silver
64100.0,60,124.0,546,1,Gold
42670.0,32,129.0,241,0,Platinum
12571.0,48,120.0,53,1,Bronze
22574.0,57,123.0,37,3,Bronze
70893.0,48,131.0,1508,0,Silver
54198.0,58,121.0,235,2,Gold
28839.0,68,118.0,32,2,Bronze
40321.0,52,126.0,102,2,Platinum
66503.0,39,137.0,401,1,Gold
30833.0,73,126.0,28,2,Bronze
64795.0,53,132.0,680,1,Gold
34421.0,50,126.0,30,1,Platinum
47025.0,59,119.0,20,2,Platinum
64325.0,63,131.0,1307,1,Gold
40464.0,71,132.0,630,1,Platinum
62187.0,67,126.0,1283,0,Gold
14849.0,48,126.0,65,1,Bronze
27255.0,40,122.0,37,1,Bronze
54432.0,74,128.0,38,3,Gold
29999.0,38,131.0,160,1,Bronze
24072.0,41,129.0,23,1,Bronze
33996.0,35,124.0,71,0,Platinum
66334.0,68,129.0,1161,1,Gold
35178.0,53,132.0,59,1,Platinum
22010.0,41,127.0,33,1,Bronze
62204.0,64,136.0,946,2,Gold
75693.0,56,133.0,1442,0,Silver
30675.0,52,134.0,62,1,Bronze
83003.0,59,130.0,1674,0,Silver
68655.0,36,137.0,1538,0,Gold
41411.0,38,121.0,139,0,Platinum
55212.0,55,134.0,1182,1,Gold
59292.0,74,127.0,507,1,Gold
27190.0,51,125.0,18,1,Bronze
82623.0,72,122.0,940,0,Silver
44300.0,59,127.0,42,2,Platinum
84835.0,54,115.0,1190,0,Silver
30372.0,53,133.0,44,2,Bronze
33181.0,48,120.0,16,1,Platinum
71113.0,67,121.0,835,1,Silver
71952.0,38,132.0,1443,1,Silver
69759.0,58,123.0,1029,0,Silver
72099.0,50,135.0,1188,0,Silver
60000.0,48,133.0,1277,1,Gold
38643.0,46,122.0,49,2,Platinum
50737.0,69,128.0,99,1,Platinum
68462.0,55,133.0,1670,0,Gold
65073.0,81,125.0,900,0,Gold
46681.0,76,123.0,425,2,Platinum
78618.0,67,136.0,2153,0,Silver
62187.0,55,118.0,636,1,Gold
28442.0,46,119.0,57,2,Bronze
37717.0,46,134.0,25,1,Platinum
51479.0,57,133.0,494,2,Gold
54803.0,55,137.0,693,1,Gold
79530.0,64,128.0,1348,0,Silver
31615.0,48,130.0,51,1,Bronze
72025.0,62,134.0,1932,0,Silver
52614.0,49,133.0,990,1,Gold
35684.0,40,117.0,30,1,Platinum
48178.0,49,135.0,254,2,Platinum
29548.0,54,125.0,29,1,Bronze
63810.0,58,134.0,1371,1,Gold
38578.0,52,127.0,73,2,Platinum
46098.0,49,137.0,120,2,Platinum
22585.0,54,130.0,81,0,Bronze
30279.0,35,133.0,37,1,Bronze
66426.0,63,123.0,1377,1,Gold
30822.0,55,127.0,51,1,Bronze
33581.0,55,132.0,17,2,Platinum
19986.0,39,122.0,22,1,Bronze
27421.0,70,133.0,324,0,Bronze
35688.0,51,137.0,211,3,Platinum
36143.0,43,118.0,19,1,Platinum
10245.0,53,128.0,41,1,Bronze
43795.0,56,123.0,492,1,Platinum
63381.0,64,135.0,1005,1,Gold
38823.0,75,137.0,114,1,Platinum
83664.0,56,128.0,1173,2,Silver
90300.0,45,120.0,1738,0,Silver
62499.0,45,121.0,222,1,Gold
74293.0,31,116.0,1127,0,Silver
51012.0,78,129.0,209,0,Gold
70777.0,56,119.0,787,1,Silver
68682.0,33,123.0,1598,0,Gold
43824.0,53,136.0,186,2,Platinum
15345.0,40,137.0,47,1,Bronze
23442.0,37,133.0,27,1,Bronze
14515.0,44,134.0,96,1,Bronze
31395.0,68,130.0,64,2,Bronze
75276.0,59,136.0,1040,0,Silver
42373.0,50,125.0,163,2,Platinum
30507.0,64,130.0,343,0,Bronze
55521.0,69,123.0,446,3,Gold
48006.0,59,115.0,41,2,Platinum
27213.0,52,137.0,70,1,Bronze
65808.0,53,116.0,272,2,Gold
30351.0,50,127.0,46,1,Bronze
50437.0,61,135.0,490,2,Platinum
23616.0,42,134.0,79,1,Bronze
53858.0,48,134.0,915,1,Gold
66465.0,69,130.0,1485,1,Gold
46923.0,37,137.0,369,1,Platinum
75072.0,62,132.0,1073,1,Silver
75865.0,81,118.0,1242,0,Silver
19789.0,49,122.0,78,1,Bronze
80134.0,30,119.0,1378,0,Silver
91065.0,43,131.0,1474,0,Silver
49505.0,53,130.0,751,2,Platinum
37401.0,51,116.0,48,1,Platinum
30096.0,41,116.0,45,1,Bronze
18492.0,42,115.0,10,1,Bronze
82584.0,50,127.0,1435,0,Silver
93027.0,83,129.0,2119,0,Silver
48686.0,71,121.0,20,3,Platinum
92910.0,38,117.0,1795,0,Silver
75433.0,35,117.0,1188,1,Silver
10404.0,35,116.0,43,1,Bronze
61314.0,56,129.0,1008,1,Gold
84865.0,63,128.0,1688,0,Silver
42387.0,35,135.0,684,1,Platinum
67309.0,57,132.0,1082,2,Gold
75236.0,60,122.0,1068,1,Silver
30015.0,54,119.0,57,1,Bronze
50943.0,68,127.0,46,1,Gold
67272.0,58,121.0,733,1,Gold
51529.0,75,124.0,467,1,Gold
32011.0,53,125.0,122,1,Bronze
7500.0,38,131.0,36,1,Bronze
28691.0,35,126.0,34,1,Bronze
56223.0,76,121.0,156,1,Gold
18100.0,78,125.0,14,0,Bronze
30279.0,35,133.0,37,1,Bronze
20130.0,50,118.0,34,0,Bronze
23295.0,65,126.0,20,0,Bronze
42618.0,52,123.0,192,1,Platinum
81246.0,60,121.0,1379,0,Silver
24027.0,48,127.0,48,1,Bronze
55707.0,71,121.0,428,1,Gold
57959.0,69,128.0,868,1,Gold
56796.0,55,131.0,1001,1,Gold
36230.0,53,123.0,59,1,Platinum
70829.0,44,121.0,431,2,Silver
65991.0,48,136.0,971,1,Gold
38988.0,52,137.0,348,3,Platinum
89572.0,58,136.0,2059,0,Silver
42207.0,40,129.0,265,1,Platinum
50300.0,72,116.0,270,1,Platinum
66664.0,42,136.0,1289,0,Gold
60597.0,60,120.0,893,1,Gold
70165.0,75,124.0,926,0,Silver
50520.0,66,120.0,135,1,Platinum
80124.0,61,115.0,1495,0,Silver
33183.0,49,119.0,120,1,Platinum
66582.0,55,118.0,1288,0,Gold
75261.0,69,129.0,1743,0,Silver
31880.0,54,135.0,15,1,Bronze
53790.0,73,118.0,542,2,Gold
49269.0,53,137.0,890,1,Platinum
61456.0,49,130.0,1388,1,Gold
37406.0,44,123.0,17,1,Platinum
56937.0,43,137.0,906,1,Gold
38415.0,46,132.0,44,2,Platinum
20518.0,36,116.0,25,1,Bronze
62503.0,68,131.0,973,1,Gold
41644.0,52,116.0,31,2,Platinum
55842.0,47,116.0,518,1,Gold
62010.0,52,135.0,530,1,Gold
41124.0,47,135.0,506,1,Platinum
38961.0,51,121.0,70,1,Platinum
37760.0,52,125.0,54,1,Platinum
32233.0,50,137.0,296,1,Platinum
43057.0,49,123.0,266,1,Platinum
83151.0,64,135.0,747,0,Silver
78825.0,60,136.0,895,0,Silver
65104.0,48,122.0,1053,1,Gold
60093.0,50,127.0,735,1,Gold
14045.0,55,120.0,20,1,Bronze
28457.0,72,135.0,205,0,Bronze
78952.0,66,136.0,2092,1,Silver
46310.0,48,133.0,309,1,Platinum
76005.0,69,131.0,1722,0,Silver
58308.0,60,132.0,900,1,Gold
55614.0,80,122.0,682,0,Gold
59432.0,62,129.0,663,1,Gold
55563.0,46,117.0,43,1,Gold
78642.0,53,129.0,1816,1,Silver
67911.0,75,116.0,976,1,Gold
65275.0,80,129.0,746,0,Gold
27203.0,74,137.0,64,2,Bronze
48330.0,63,122.0,32,1,Platinum
24279.0,34,133.0,263,0,Bronze
64355.0,39,137.0,1445,1,Gold
50943.0,68,127.0,46,1,Gold
53653.0,71,134.0,1210,0,Gold
65665.0,48,121.0,945,1,Gold
81217.0,35,126.0,1157,0,Silver
34935.0,32,127.0,137,0,Platinum
61250.0,65,133.0,730,1,Gold
39665.0,43,128.0,216,1,Platinum
60152.0,45,130.0,943,1,Gold
48920.0,60,123.0,347,2,Platinum
89120.0,65,118.0,1924,0,Silver
44124.0,78,128.0,397,1,Platinum
81169.0,49,129.0,2089,0,Silver
36443.0,63,131.0,138,2,Platinum
26095.0,34,127.0,42,1,Bronze
71367.0,65,125.0,777,0,Silver
80184.0,80,118.0,1902,0,Silver
30630.0,59,120.0,52,2,Bronze
73454.0,37,118.0,1651,0,Silver
42691.0,33,125.0,358,0,Platinum
70503.0,71,136.0,1727,0,Silver
25545.0,37,136.0,210,1,Bronze
32880.0,38,133.0,42,1,Platinum
77863.0,66,122.0,1291,0,Silver
50353.0,47,115.0,442,0,Platinum
61839.0,60,137.0,1895,0,Gold
49154.0,64,122.0,411,2,Platinum
47682.0,49,131.0,521,1,Platinum
72679.0,55,124.0,1168,1,Silver
57954.0,47,115.0,493,2,Gold
65316.0,62,129.0,260,2,Gold
28567.0,42,127.0,46,1,Bronze
47352.0,73,129.0,319,1,Platinum
44931.0,57,120.0,96,1,Platinum
76982.0,57,119.0,1062,0,Silver
57247.0,72,125.0,232,1,Gold
22944.0,43,121.0,76,1,Bronze
25315.0,47,122.0,54,1,Bronze
43638.0,55,137.0,201,1,Platinum
42710.0,40,134.0,406,1,Platinum
84169.0,42,125.0,1919,0,Silver
54058.0,48,127.0,662,1,Gold
24683.0,34,118.0,41,1,Bronze
85620.0,60,120.0,1600,0,Silver
47850.0,44,121.0,134,1,Platinum
19514.0,56,120.0,69,2,Bronze
27159.0,51,118.0,21,2,Bronze
39548.0,61,118.0,54,2,Platinum
21474.0,35,117.0,91,1,Bronze
60504.0,53,119.0,526,1,Gold
22419.0,61,129.0,162,0,Bronze
81698.0,75,122.0,1008,0,Silver
43462.0,72,136.0,240,2,Platinum
54880.0,46,130.0,795,1,Gold
79908.0,42,129.0,1772,0,Silver
15315.0,54,125.0,64,0,Bronze
87771.0,65,128.0,1957,1,Silver
33039.0,46,124.0,78,1,Platinum
81741.0,44,127.0,1572,0,Silver
71499.0,53,127.0,795,1,Silver
62466.0,54,120.0,889,1,Gold
48799.0,61,122.0,331,1,Platinum
52157.0,74,115.0,265,1,Gold
66565.0,62,133.0,1065,1,Gold
29298.0,73,124.0,11,2,Bronze
47691.0,45,126.0,21,1,Platinum
38200.0,54,133.0,17,2,Platinum
44989.0,50,136.0,369,1,Platinum
38443.0,56,120.0,38,2,Platinum
38593.0,46,124.0,177,1,Platinum
64413.0,54,125.0,279,1,Gold
36959.0,43,123.0,62,1,Platinum
61996.0,47,132.0,1230,1,Gold
51287.0,56,117.0,182,2,Gold
13260.0,54,125.0,49,2,Bronze
47472.0,58,124.0,75,2,Platinum
54603.0,68,126.0,227,2,Gold
45207.0,50,134.0,215,2,Platinum
40689.0,73,130.0,444,1,Platinum
47821.0,57,123.0,47,2,Platinum
27450.0,73,129.0,143,0,Bronze
39453.0,41,117.0,55,1,Platinum
26850.0,53,117.0,63,2,Bronze
79800.0,69,136.0,1867,0,Silver
61794.0,63,124.0,611,1,Gold
53863.0,69,116.0,473,1,Gold
24221.0,65,125.0,55,0,Bronze
39684.0,40,135.0,81,1,Platinum
92163.0,49,133.0,2086,0,Silver
69882.0,59,122.0,1478,0,Silver
33178.0,47,120.0,49,1,Platinum
59973.0,52,124.0,382,0,Gold
17459.0,49,124.0,69,1,Bronze
23910.0,55,135.0,67,1,Bronze
42169.0,55,123.0,30,2,Platinum
26224.0,46,127.0,63,1,Bronze
31089.0,43,137.0,79,1,Bronze
30081.0,63,131.0,42,1,Bronze
62807.0,64,137.0,819,1,Gold
72906.0,69,124.0,1151,0,Silver
61467.0,76,133.0,594,2,Gold
49618.0,58,132.0,129,2,Platinum
21888.0,38,133.0,213,1,Bronze
42429.0,51,119.0,67,1,Platinum
26150.0,68,130.0,28,3,Bronze
30801.0,49,135.0,45,1,Bronze
81168.0,59,116.0,1193,0,Silver
26877.0,55,125.0,268,0,Bronze
45006.0,80,126.0,266,0,Platinum
18978.0,51,133.0,37,1,Bronze
22574.0,57,123.0,37,3,Bronze
48240.0,55,134.0,882,0,Platinum
45837.0,50,126.0,373,2,Platinum
35791.0,59,128.0,35,3,Platinum
54162.0,46,130.0,42,2,Gold
30522.0,64,137.0,326,1,Bronze
54456.0,63,126.0,404,1,Gold
31632.0,53,126.0,95,0,Bronze
72298.0,75,118.0,939,0,Silver
36975.0,46,121.0,33,1,Platinum
72635.0,69,127.0,981,0,Silver
13624.0,48,132.0,36,1,Bronze
84196.0,49,127.0,1237,1,Silver
70971.0,64,136.0,1825,1,Silver
34487.0,47,136.0,103,2,Platinum
28769.0,47,133.0,191,1,Bronze
69084.0,54,122.0,1586,1,Gold
65488.0,66,115.0,963,0,Gold
62466.0,54,120.0,889,1,Gold
32218.0,64,119.0,93,0,Platinum
83917.0,51,129.0,1587,0,Silver
46102.0,62,118.0,16,3,Platinum
84574.0,72,127.0,1375,0,Silver
56181.0,62,132.0,393,1,Gold
63120.0,74,136.0,1477,1,Gold
73691.0,53,122.0,1179,1,Silver
63381.0,64,135.0,1005,1,Gold
76140.0,76,116.0,1348,0,Silver
62859.0,65,133.0,1307,1,Gold
45906.0,60,128.0,486,1,Platinum
77632.0,77,130.0,2252,0,Silver
46463.0,53,125.0,235,2,Platinum
105471.0,54,132.0,1724,0,Silver
55282.0,54,121.0,235,1,Gold
78710.0,47,116.0,1092,1,Silver
66886.0,66,124.0,599,1,Gold
98777.0,64,119.0,2008,0,Silver
29103.0,39,137.0,48,1,Bronze
67445.0,50,137.0,1174,1,Gold
50616.0,74,117.0,67,1,Platinum
49431.0,69,137.0,365,1,Platinum
61278.0,71,120.0,165,1,Gold
26490.0,66,136.0,210,0,Bronze
73059.0,77,125.0,1095,1,Silver
46734.0,58,123.0,223,3,Platinum
56253.0,61,133.0,597,1,Gold
19986.0,39,122.0,22,1,Bronze
58330.0,49,121.0,1064,1,Gold
25965.0,44,136.0,74,0,Bronze
14661.0,68,132.0,26,0,Bronze
18690.0,65,133.0,60,0,Bronze
45068.0,50,128.0,20,1,Platinum
21063.0,37,124.0,59,1,Bronze
29187.0,56,128.0,34,1,Bronze
54690.0,53,122.0,198,2,Gold
59304.0,60,126.0,1048,1,Gold
59247.0,62,122.0,574,2,Gold
66731.0,54,136.0,1029,1,Gold
77353.0,44,121.0,670,1,Silver
52614.0,49,133.0,990,1,Gold
26751.0,50,116.0,11,2,Bronze
81300.0,61,135.0,1241,1,Silver
70337.0,45,120.0,576,0,Silver
36145.0,39,127.0,172,1,Platinum
65295.0,44,121.0,664,0,Gold
68118.0,61,123.0,928,1,Gold
68743.0,57,137.0,2074,0,Gold
41039.0,42,126.0,467,0,Platinum
38946.0,69,123.0,257,1,Platinum
65777.0,57,121.0,1146,0,Gold
66476.0,48,130.0,689,1,Gold
86857.0,52,136.0,2114,0,Silver
77845.0,35,116.0,1346,0,Silver
69476.0,55,124.0,1044,0,Gold
50611.0,64,135.0,493,1,Platinum
61209.0,54,125.0,957,0,Gold
42315.0,66,126.0,270,1,Platinum
13084.0,72,122.0,29,0,Bronze
47570.0,75,128.0,121,2,Platinum
61923.0,63,126.0,126,2,Gold
34824.0,29,118.0,23,0,Platinum
26518.0,75,129.0,57,2,Bronze
45938.0,63,122.0,636,0,Platinum
78468.0,64,117.0,1004,0,Silver
78901.0,51,124.0,734,1,Silver
71427.0,46,118.0,614,2,Silver
71022.0,46,119.0,1453,1,Silver
90247.0,36,117.0,1621,0,Silver
41335.0,56,121.0,187,1,Platinum
71952.0,38,132.0,1443,1,Silver
35682.0,54,115.0,57,1,Platinum
43185.0,73,129.0,637,1,Platinum
66375.0,76,122.0,948,1,Gold
35178.0,53,132.0,59,1,Platinum
25252.0,38,126.0,18,1,Bronze
55250.0,59,135.0,903,1,Gold
33249.0,49,131.0,112,1,Platinum
58398.0,71,128.0,596,0,Gold
50272.0,42,125.0,233,1,Platinum
76618.0,49,133.0,1511,0,Silver
87305.0,64,136.0,1152,0,Silver
25851.0,46,131.0,48,1,Bronze
58710.0,54,130.0,1185,1,Gold
45160.0,66,118.0,21,2,Platinum
74806.0,59,133.0,965,1,Silver
59111.0,70,128.0,869,0,Gold
18988.0,40,116.0,16,1,Bronze
72190.0,59,131.0,1947,0,Silver
7500.0,48,137.0,71,1,Bronze
